date,equity,close,shares,cash
2022-06-17,1000000.0,1951.0,0,1000000.0
2022-06-20,1000000.0,1942.02,0,1000000.0
2022-06-21,1000000.0,1945.74,0,1000000.0
2022-06-22,1000000.0,1936.0,0,1000000.0
2022-06-23,1000000.0,1957.1,0,1000000.0
2022-06-24,1000000.0,2009.01,0,1000000.0
2022-06-27,1000000.0,2010.55,0,1000000.0
2022-06-28,1000000.0,2036.0,0,1000000.0
2022-06-29,1000000.0,2030.0,0,1000000.0
2022-06-30,1000000.0,2045.0,0,1000000.0
2022-07-01,1000000.0,2029.05,0,1000000.0
2022-07-04,1000000.0,2018.0,0,1000000.0
2022-07-05,1000000.0,2033.01,0,1000000.0
2022-07-06,1000000.0,2002.0,0,1000000.0
2022-07-07,1000000.0,1990.0,0,1000000.0
2022-07-08,1000000.0,1999.0,0,1000000.0
2022-07-11,1000000.0,1963.6,0,1000000.0
2022-07-12,1000000.0,1948.41,0,1000000.0
2022-07-13,1000000.0,1958.89,0,1000000.0
2022-07-14,1000000.0,1953.0,0,1000000.0
2022-07-15,1000000.0,1949.5,0,1000000.0
2022-07-18,1000000.0,1951.66,0,1000000.0
2022-07-19,1000000.0,1943.1,0,1000000.0
2022-07-20,1000000.0,1950.1,0,1000000.0
2022-07-21,1000000.0,1939.0,0,1000000.0
2022-07-22,1000000.0,1947.0,0,1000000.0
2022-07-25,1000000.0,1944.65,0,1000000.0
2022-07-26,1000000.0,1950.21,0,1000000.0
2022-07-27,1000000.0,1919.6,0,1000000.0
2022-07-28,1000000.0,1898.0,0,1000000.0
2022-07-29,1000000.0,1898.44,0,1000000.0
2022-08-01,1000000.0,1890.3,0,1000000.0
2022-08-02,1000000.0,1879.98,0,1000000.0
2022-08-03,1000000.0,1885.0,0,1000000.0
2022-08-04,1000000.0,1916.01,0,1000000.0
2022-08-05,1000000.0,1923.96,0,1000000.0
2022-08-08,1000000.0,1911.53,0,1000000.0
2022-08-09,1000000.0,1910.0,0,1000000.0
2022-08-10,1000000.0,1876.0,0,1000000.0
2022-08-11,1000000.0,1906.9,0,1000000.0
2022-08-12,1000000.0,1928.0,0,1000000.0
2022-08-15,1000000.0,1919.89,0,1000000.0
2022-08-16,1000000.0,1917.84,0,1000000.0
2022-08-17,999712.3,1918.0,500,40712.3
2022-08-18,988462.3,1895.5,500,40712.3
2022-08-19,988217.3,1895.01,500,40712.3
2022-08-22,986471.21,1893.98,0,986471.21
2022-08-23,986471.21,1870.01,0,986471.21
2022-08-24,986471.21,1854.2,0,986471.21
2022-08-25,986471.21,1885.0,0,986471.21
2022-08-26,986471.21,1898.0,0,986471.21
2022-08-29,986471.21,1878.82,0,986471.21
2022-08-30,986471.21,1870.0,0,986471.21
2022-08-31,986471.21,1924.0,0,986471.21
2022-09-01,986471.21,1880.89,0,986471.21
2022-09-02,986471.21,1875.0,0,986471.21
2022-09-05,986471.21,1835.0,0,986471.21
2022-09-06,986471.21,1845.0,0,986471.21
2022-09-07,986471.21,1818.01,0,986471.21
2022-09-08,986471.21,1815.0,0,986471.21
2022-09-09,986471.21,1844.79,0,986471.21
2022-09-13,986471.21,1879.0,0,986471.21
2022-09-14,986471.21,1869.0,0,986471.21
2022-09-15,986471.21,1880.0,0,986471.21
2022-09-16,986471.21,1859.0,0,986471.21
2022-09-19,986190.47,1871.64,500,50370.47
2022-09-20,989370.47,1878.0,500,50370.47
2022-09-21,974370.47,1848.0,500,50370.47
2022-09-22,959591.94,1820.81,0,959591.94
2022-09-23,959591.94,1834.43,0,959591.94
2022-09-26,959591.94,1863.0,0,959591.94
2022-09-27,959591.94,1888.0,0,959591.94
2022-09-28,959591.94,1883.0,0,959591.94
2022-09-29,959309.89,1880.35,500,19134.89
2022-09-30,955384.89,1872.5,500,19134.89
2022-10-10,912134.89,1786.0,500,19134.89
2022-10-11,907972.89,1779.99,0,907972.89
2022-10-12,907972.89,1760.0,0,907972.89
2022-10-13,907972.89,1699.99,0,907972.89
2022-10-14,907972.89,1737.61,0,907972.89
2022-10-17,907972.89,1718.5,0,907972.89
2022-10-18,907972.89,1705.83,0,907972.89
2022-10-19,907972.89,1648.0,0,907972.89
2022-10-20,907972.89,1643.5,0,907972.89
2022-10-21,907972.89,1624.0,0,907972.89
2022-10-24,907972.89,1501.28,0,907972.89
2022-10-25,907972.89,1479.75,0,907972.89
2022-10-26,907972.89,1464.08,0,907972.89
2022-10-27,907972.89,1401.0,0,907972.89
2022-10-28,907972.89,1360.0,0,907972.89
2022-10-31,907972.89,1350.0,0,907972.89
2022-11-01,907972.89,1462.01,0,907972.89
2022-11-02,907972.89,1471.96,0,907972.89
2022-11-03,907972.89,1439.5,0,907972.89
2022-11-04,907972.89,1516.57,0,907972.89
2022-11-07,907972.89,1507.11,0,907972.89
2022-11-08,907972.89,1484.88,0,907972.89
2022-11-09,907972.89,1459.9,0,907972.89
2022-11-10,907972.89,1475.0,0,907972.89
2022-11-11,907972.89,1528.15,0,907972.89
2022-11-14,907972.89,1533.0,0,907972.89
2022-11-15,907734.69,1588.0,500,113734.69
2022-11-16,906359.69,1585.25,500,113734.69
2022-11-17,897234.69,1567.0,500,113734.69
2022-11-18,897299.69,1567.13,500,113734.69
2022-11-21,873724.69,1519.98,500,113734.69
2022-11-22,883709.69,1539.95,500,113734.69
2022-11-23,888234.69,1549.0,500,113734.69
2022-11-24,873729.69,1519.99,500,113734.69
2022-11-25,874739.69,1522.01,500,113734.69
2022-11-28,868674.69,1509.88,500,113734.69
2022-11-29,913234.69,1599.0,500,113734.69
2022-11-30,913234.69,1599.0,500,113734.69
2022-12-01,929134.69,1630.8,500,113734.69
2022-12-02,930674.69,1633.88,500,113734.69
2022-12-05,946184.69,1664.9,500,113734.69
2022-12-06,957734.69,1688.0,500,113734.69
2022-12-07,955734.69,1684.0,500,113734.69
2022-12-08,957244.69,1687.02,500,113734.69
2022-12-09,978734.69,1730.0,500,113734.69
2022-12-12,983244.69,1739.02,500,113734.69
2022-12-13,988734.69,1750.0,500,113734.69
2022-12-14,999169.69,1770.87,500,113734.69
2022-12-15,1007229.69,1786.99,500,113734.69
2022-12-16,1007169.69,1786.87,500,113734.69
2022-12-19,1000234.69,1773.0,500,113734.69
2022-12-20,971234.69,1715.0,500,113734.69
2022-12-21,983234.69,1739.0,500,113734.69
2022-12-22,997734.69,1768.0,500,113734.69
2022-12-23,999234.69,1771.0,500,113734.69
2022-12-26,984764.69,1742.06,500,113734.69
2022-12-27,980234.69,1733.0,500,113734.69
2022-12-28,980234.69,1733.0,500,113734.69
2022-12-29,973234.69,1719.0,500,113734.69
2022-12-30,976112.14,1727.0,0,976112.14
2023-01-03,976112.14,1730.01,0,976112.14
2023-01-04,976112.14,1725.01,0,976112.14
2023-01-05,976112.14,1801.0,0,976112.14
2023-01-06,975841.58,1803.77,500,73956.58
2023-01-09,994556.58,1841.2,500,73956.58
2023-01-10,1001181.58,1854.45,500,73956.58
2023-01-11,996431.58,1844.95,500,73956.58
2023-01-12,990956.58,1834.0,500,73956.58
2023-01-13,1017456.58,1887.0,500,73956.58
2023-01-16,1030406.58,1912.9,500,73956.58
2023-01-17,1027956.58,1908.0,500,73956.58
2023-01-18,1020456.58,1893.0,500,73956.58
2023-01-19,1014061.58,1880.21,500,73956.58
2023-01-20,1003961.58,1860.01,500,73956.58
2023-01-30,1017956.58,1888.0,500,73956.58
2023-01-31,996836.58,1845.76,500,73956.58
2023-02-01,996441.58,1844.97,500,73956.58
2023-02-02,992011.58,1836.11,500,73956.58
2023-02-03,982956.58,1818.0,500,73956.58
2023-02-06,970289.83,1795.0,0,970289.83
2023-02-07,970289.83,1797.0,0,970289.83
2023-02-08,970289.83,1784.0,0,970289.83
2023-02-09,970289.83,1818.0,0,970289.83
2023-02-10,970289.83,1810.0,0,970289.83
2023-02-13,970289.83,1856.35,0,970289.83
2023-02-14,970289.83,1843.79,0,970289.83
2023-02-15,970289.83,1841.0,0,970289.83
2023-02-16,970289.83,1861.82,0,970289.83
2023-02-17,970289.83,1820.78,0,970289.83
2023-02-20,970008.58,1875.0,500,32508.58
2023-02-21,966008.58,1867.0,500,32508.58
2023-02-22,950508.58,1836.0,500,32508.58
2023-02-23,941508.58,1818.0,500,32508.58
2023-02-24,926508.58,1788.0,500,32508.58
2023-02-27,936536.81,1810.41,0,936536.81
2023-02-28,936536.81,1813.74,0,936536.81
2023-03-01,936536.81,1838.53,0,936536.81
2023-03-02,936536.81,1828.0,0,936536.81
2023-03-03,936536.81,1818.04,0,936536.81
2023-03-06,936536.81,1807.14,0,936536.81
2023-03-07,936536.81,1788.3,0,936536.81
2023-03-08,936536.81,1770.42,0,936536.81
2023-03-09,936536.81,1770.02,0,936536.81
2023-03-10,936536.81,1750.0,0,936536.81
2023-03-13,936536.81,1762.0,0,936536.81
2023-03-14,936536.81,1766.0,0,936536.81
2023-03-15,936536.81,1750.92,0,936536.81
2023-03-16,936536.81,1751.99,0,936536.81
2023-03-17,936536.81,1742.0,0,936536.81
2023-03-20,936536.81,1729.6,0,936536.81
2023-03-21,936536.81,1775.0,0,936536.81
2023-03-22,936536.81,1773.35,0,936536.81
2023-03-23,936536.81,1774.86,0,936536.81
2023-03-24,936536.81,1778.62,0,936536.81
2023-03-27,936536.81,1767.79,0,936536.81
2023-03-28,936536.81,1781.8,0,936536.81
2023-03-29,936268.31,1790.0,500,41268.31
2023-03-30,941268.31,1800.0,500,41268.31
2023-03-31,951268.31,1820.0,500,41268.31
2023-04-03,942303.31,1802.07,500,41268.31
2023-04-04,948563.31,1814.59,500,41268.31
2023-04-06,939748.31,1796.96,500,41268.31
2023-04-07,936763.31,1790.99,500,41268.31
2023-04-10,927118.31,1771.7,500,41268.31
2023-04-11,914018.31,1745.5,500,41268.31
2023-04-12,887217.15,1694.1,0,887217.15
2023-04-13,887217.15,1723.0,0,887217.15
2023-04-14,887217.15,1713.42,0,887217.15
2023-04-17,887217.15,1753.0,0,887217.15
2023-04-18,887217.15,1758.0,0,887217.15
2023-04-19,887217.15,1759.0,0,887217.15
2023-04-20,887217.15,1741.88,0,887217.15
2023-04-21,887217.15,1725.47,0,887217.15
2023-04-24,887217.15,1705.0,0,887217.15
2023-04-25,887217.15,1730.38,0,887217.15
2023-04-26,887217.15,1743.91,0,887217.15
2023-04-27,887217.15,1757.92,0,887217.15
2023-04-28,887217.15,1760.52,0,887217.15
2023-05-04,887217.15,1749.9,0,887217.15
2023-05-05,886954.65,1750.0,500,11954.65
2023-05-08,872214.65,1720.52,500,11954.65
2023-05-09,871835.35,1722.0,0,871835.35
2023-05-10,871835.35,1725.0,0,871835.35
2023-05-11,871835.35,1717.07,0,871835.35
2023-05-12,871835.35,1706.4,0,871835.35
2023-05-15,871835.35,1716.3,0,871835.35
2023-05-16,871835.35,1703.29,0,871835.35
2023-05-17,871835.35,1701.0,0,871835.35
2023-05-18,871835.35,1691.0,0,871835.35
2023-05-19,871835.35,1699.5,0,871835.35
2023-05-22,871835.35,1746.0,0,871835.35
2023-05-23,871835.35,1724.55,0,871835.35
2023-05-24,871835.35,1710.9,0,871835.35
2023-05-25,871835.35,1701.0,0,871835.35
2023-05-26,871835.35,1690.56,0,871835.35
2023-05-29,871835.35,1689.0,0,871835.35
2023-05-30,871835.35,1668.29,0,871835.35
2023-05-31,871835.35,1628.9,0,871835.35
2023-06-01,871835.35,1635.92,0,871835.35
2023-06-02,871835.35,1670.6,0,871835.35
2023-06-05,871835.35,1665.0,0,871835.35
2023-06-06,871835.35,1666.99,0,871835.35
2023-06-07,871835.35,1650.9,0,871835.35
2023-06-08,871835.35,1668.0,0,871835.35
2023-06-09,871835.35,1666.0,0,871835.35
2023-06-12,871835.35,1696.0,0,871835.35
2023-06-13,871835.35,1699.0,0,871835.35
2023-06-14,871576.32,1726.88,500,8136.32
2023-06-15,885636.32,1755.0,500,8136.32
2023-06-16,906981.32,1797.69,500,8136.32
2023-06-19,880136.32,1744.0,500,8136.32
2023-06-20,879866.32,1743.46,500,8136.32
2023-06-21,876051.32,1735.83,500,8136.32
2023-06-26,862636.32,1709.0,500,8136.32
2023-06-27,863661.32,1711.05,500,8136.32
2023-06-28,872326.32,1728.38,500,8136.32
2023-06-29,864991.32,1713.71,500,8136.32
2023-06-30,853636.32,1691.0,500,8136.32
2023-07-03,870186.32,1724.1,500,8136.32
2023-07-04,873436.32,1730.6,500,8136.32
2023-07-05,865826.32,1715.38,500,8136.32
2023-07-06,858519.38,1702.98,0,858519.38
2023-07-07,858519.38,1690.03,0,858519.38
2023-07-10,858519.38,1700.9,0,858519.38
2023-07-11,858519.38,1710.0,0,858519.38
2023-07-12,858519.38,1713.8,0,858519.38
2023-07-13,858519.38,1738.4,0,858519.38
2023-07-14,858519.38,1753.0,0,858519.38
2023-07-17,858311.78,1729.97,400,166323.78
2023-07-18,855443.78,1722.8,400,166323.78
2023-07-19,855523.78,1723.0,400,166323.78
2023-07-20,855923.78,1724.0,400,166323.78
2023-07-21,874843.78,1771.3,400,166323.78
2023-07-24,874783.78,1771.15,400,166323.78
2023-07-25,897743.78,1828.55,400,166323.78
2023-07-26,897743.78,1828.55,400,166323.78
2023-07-27,901535.78,1838.03,400,166323.78
2023-07-28,925123.78,1897.0,400,166323.78
2023-07-31,918555.78,1880.58,400,166323.78
2023-08-01,921923.78,1889.0,400,166323.78
2023-08-02,918323.78,1880.0,400,166323.78
2023-08-03,917711.78,1878.47,400,166323.78
2023-08-04,923711.78,1893.47,400,166323.78
2023-08-07,921495.78,1887.93,400,166323.78
2023-08-08,922323.78,1890.0,400,166323.78
2023-08-09,922435.78,1890.28,400,166323.78
2023-08-10,916323.78,1875.0,400,166323.78
2023-08-11,899923.78,1834.0,400,166323.78
2023-08-14,887523.78,1803.0,400,166323.78
2023-08-15,891515.78,1812.98,400,166323.78
2023-08-16,893377.38,1820.0,0,893377.38
2023-08-17,893377.38,1828.05,0,893377.38
2023-08-18,893377.38,1802.59,0,893377.38
2023-08-21,893377.38,1791.0,0,893377.38
2023-08-22,893377.38,1788.0,0,893377.38
2023-08-23,893377.38,1774.0,0,893377.38
2023-08-24,893377.38,1816.3,0,893377.38
2023-08-25,893377.38,1824.98,0,893377.38
2023-08-28,893377.38,1834.97,0,893377.38
2023-08-29,893377.38,1851.33,0,893377.38
2023-08-30,893377.38,1856.0,0,893377.38
2023-08-31,893155.74,1847.0,400,154355.74
2023-09-01,894775.74,1851.05,400,154355.74
2023-09-04,900755.74,1866.0,400,154355.74
2023-09-05,897835.74,1858.7,400,154355.74
2023-09-06,898755.74,1861.0,400,154355.74
2023-09-07,889555.74,1838.0,400,154355.74
2023-09-08,881755.74,1818.5,400,154355.74
2023-09-11,883223.74,1822.17,400,154355.74
2023-09-12,882339.74,1819.96,400,154355.74
2023-09-13,881373.39,1819.91,0,881373.39
2023-09-14,881373.39,1818.69,0,881373.39
2023-09-15,881373.39,1781.99,0,881373.39
2023-09-18,881373.39,1829.2,0,881373.39
2023-09-19,881373.39,1826.94,0,881373.39
2023-09-20,881373.39,1824.0,0,881373.39
2023-09-21,881373.39,1798.39,0,881373.39
2023-09-22,881373.39,1849.0,0,881373.39
2023-09-25,881373.39,1832.38,0,881373.39
2023-09-26,881373.39,1816.0,0,881373.39
2023-09-27,881373.39,1814.0,0,881373.39
2023-09-28,881373.39,1798.55,0,881373.39
2023-10-09,881373.39,1777.0,0,881373.39
2023-10-10,881373.39,1770.0,0,881373.39
2023-10-11,881373.39,1778.5,0,881373.39
2023-10-12,881373.39,1786.0,0,881373.39
2023-10-13,881373.39,1751.0,0,881373.39
2023-10-16,881373.39,1729.9,0,881373.39
2023-10-17,881373.39,1726.0,0,881373.39
2023-10-18,881373.39,1728.0,0,881373.39
2023-10-19,881373.39,1630.0,0,881373.39
