date,equity,close,shares,cash
2022-06-17,1000000.0,1951.0,0,1000000.0
2022-06-20,1000000.0,1942.02,0,1000000.0
2022-06-21,1000000.0,1945.74,0,1000000.0
2022-06-22,1000000.0,1936.0,0,1000000.0
2022-06-23,1000000.0,1957.1,0,1000000.0
2022-06-24,999758.92,2009.01,400,196154.92
2022-06-27,1000374.92,2010.55,400,196154.92
2022-06-28,1010554.92,2036.0,400,196154.92
2022-06-29,1008154.92,2030.0,400,196154.92
2022-06-30,1014154.92,2045.0,400,196154.92
2022-07-01,1007774.92,2029.05,400,196154.92
2022-07-04,1003354.92,2018.0,400,196154.92
2022-07-05,1009358.92,2033.01,400,196154.92
2022-07-06,996954.92,2002.0,400,196154.92
2022-07-07,992154.92,1990.0,400,196154.92
2022-07-08,994715.44,1999.0,0,994715.44
2022-07-11,994715.44,1963.6,0,994715.44
2022-07-12,994715.44,1948.41,0,994715.44
2022-07-13,994715.44,1958.89,0,994715.44
2022-07-14,994715.44,1953.0,0,994715.44
2022-07-15,994715.44,1949.5,0,994715.44
2022-07-18,994715.44,1951.66,0,994715.44
2022-07-19,994715.44,1943.1,0,994715.44
2022-07-20,994715.44,1950.1,0,994715.44
2022-07-21,994715.44,1939.0,0,994715.44
2022-07-22,994715.44,1947.0,0,994715.44
2022-07-25,994715.44,1944.65,0,994715.44
2022-07-26,994715.44,1950.21,0,994715.44
2022-07-27,994715.44,1919.6,0,994715.44
2022-07-28,994715.44,1898.0,0,994715.44
2022-07-29,994715.44,1898.44,0,994715.44
2022-08-01,994715.44,1890.3,0,994715.44
2022-08-02,994715.44,1879.98,0,994715.44
2022-08-03,994715.44,1885.0,0,994715.44
2022-08-04,994715.44,1916.01,0,994715.44
2022-08-05,994715.44,1923.96,0,994715.44
2022-08-08,994715.44,1911.53,0,994715.44
2022-08-09,994428.94,1910.0,500,39428.94
2022-08-10,977428.94,1876.0,500,39428.94
2022-08-11,992878.94,1906.9,500,39428.94
2022-08-12,1003428.94,1928.0,500,39428.94
2022-08-15,999373.94,1919.89,500,39428.94
2022-08-16,998348.94,1917.84,500,39428.94
2022-08-17,998428.94,1918.0,500,39428.94
2022-08-18,987178.94,1895.5,500,39428.94
2022-08-19,986933.94,1895.01,500,39428.94
2022-08-22,986418.94,1893.98,500,39428.94
2022-08-23,973218.43,1870.01,0,973218.43
2022-08-24,973218.43,1854.2,0,973218.43
2022-08-25,973218.43,1885.0,0,973218.43
2022-08-26,973218.43,1898.0,0,973218.43
2022-08-29,973218.43,1878.82,0,973218.43
2022-08-30,973218.43,1870.0,0,973218.43
2022-08-31,972929.83,1924.0,500,10929.83
2022-09-01,951374.83,1880.89,500,10929.83
2022-09-02,948429.83,1875.0,500,10929.83
2022-09-05,927237.08,1835.0,0,927237.08
2022-09-06,927237.08,1845.0,0,927237.08
2022-09-07,927237.08,1818.01,0,927237.08
2022-09-08,927237.08,1815.0,0,927237.08
2022-09-09,927237.08,1844.79,0,927237.08
2022-09-13,927237.08,1879.0,0,927237.08
2022-09-14,927012.8,1869.0,400,179412.8
2022-09-15,931412.8,1880.0,400,179412.8
2022-09-16,923012.8,1859.0,400,179412.8
2022-09-19,928068.8,1871.64,400,179412.8
2022-09-20,930612.8,1878.0,400,179412.8
2022-09-21,918612.8,1848.0,400,179412.8
2022-09-22,907736.8,1820.81,400,179412.8
2022-09-23,912230.9,1834.43,0,912230.9
2022-09-26,912007.34,1863.0,400,166807.34
2022-09-27,922007.34,1888.0,400,166807.34
2022-09-28,920007.34,1883.0,400,166807.34
2022-09-29,918947.34,1880.35,400,166807.34
2022-09-30,915807.34,1872.5,400,166807.34
2022-10-10,880278.62,1786.0,0,880278.62
2022-10-11,880278.62,1779.99,0,880278.62
2022-10-12,880278.62,1760.0,0,880278.62
2022-10-13,880278.62,1699.99,0,880278.62
2022-10-14,880278.62,1737.61,0,880278.62
2022-10-17,880278.62,1718.5,0,880278.62
2022-10-18,880278.62,1705.83,0,880278.62
2022-10-19,880278.62,1648.0,0,880278.62
2022-10-20,880278.62,1643.5,0,880278.62
2022-10-21,880278.62,1624.0,0,880278.62
2022-10-24,880278.62,1501.28,0,880278.62
2022-10-25,880278.62,1479.75,0,880278.62
2022-10-26,880278.62,1464.08,0,880278.62
2022-10-27,880278.62,1401.0,0,880278.62
2022-10-28,880278.62,1360.0,0,880278.62
2022-10-31,880278.62,1350.0,0,880278.62
2022-11-01,880278.62,1462.01,0,880278.62
2022-11-02,880278.62,1471.96,0,880278.62
2022-11-03,880278.62,1439.5,0,880278.62
2022-11-04,880278.62,1516.57,0,880278.62
2022-11-07,880052.55,1507.11,500,126497.55
2022-11-08,868937.55,1484.88,500,126497.55
2022-11-09,856447.55,1459.9,500,126497.55
2022-11-10,863997.55,1475.0,500,126497.55
2022-11-11,890572.55,1528.15,500,126497.55
2022-11-14,892997.55,1533.0,500,126497.55
2022-11-15,920497.55,1588.0,500,126497.55
2022-11-16,919122.55,1585.25,500,126497.55
2022-11-17,909997.55,1567.0,500,126497.55
2022-11-18,910062.55,1567.13,500,126497.55
2022-11-21,886487.55,1519.98,500,126497.55
2022-11-22,896472.55,1539.95,500,126497.55
2022-11-23,900997.55,1549.0,500,126497.55
2022-11-24,886492.55,1519.99,500,126497.55
2022-11-25,887502.55,1522.01,500,126497.55
2022-11-28,881437.55,1509.88,500,126497.55
2022-11-29,925997.55,1599.0,500,126497.55
2022-11-30,925997.55,1599.0,500,126497.55
2022-12-01,941897.55,1630.8,500,126497.55
2022-12-02,943437.55,1633.88,500,126497.55
2022-12-05,958947.55,1664.9,500,126497.55
2022-12-06,970497.55,1688.0,500,126497.55
2022-12-07,968497.55,1684.0,500,126497.55
2022-12-08,970007.55,1687.02,500,126497.55
2022-12-09,991497.55,1730.0,500,126497.55
2022-12-12,996007.55,1739.02,500,126497.55
2022-12-13,1001497.55,1750.0,500,126497.55
2022-12-14,1011932.55,1770.87,500,126497.55
2022-12-15,1019992.55,1786.99,500,126497.55
2022-12-16,1019932.55,1786.87,500,126497.55
2022-12-19,1012997.55,1773.0,500,126497.55
2022-12-20,983997.55,1715.0,500,126497.55
2022-12-21,995997.55,1739.0,500,126497.55
2022-12-22,1010497.55,1768.0,500,126497.55
2022-12-23,1011997.55,1771.0,500,126497.55
2022-12-26,996395.21,1742.06,0,996395.21
2022-12-27,996395.21,1733.0,0,996395.21
2022-12-28,996395.21,1733.0,0,996395.21
2022-12-29,996395.21,1719.0,0,996395.21
2022-12-30,996395.21,1727.0,0,996395.21
2023-01-03,996395.21,1730.01,0,996395.21
2023-01-04,996395.21,1725.01,0,996395.21
2023-01-05,996395.21,1801.0,0,996395.21
2023-01-06,996395.21,1803.77,0,996395.21
2023-01-09,996119.03,1841.2,500,75519.03
2023-01-10,1002744.03,1854.45,500,75519.03
2023-01-11,997994.03,1844.95,500,75519.03
2023-01-12,992519.03,1834.0,500,75519.03
2023-01-13,1019019.03,1887.0,500,75519.03
2023-01-16,1031969.03,1912.9,500,75519.03
2023-01-17,1029519.03,1908.0,500,75519.03
2023-01-18,1022019.03,1893.0,500,75519.03
2023-01-19,1015624.03,1880.21,500,75519.03
2023-01-20,1005524.03,1860.01,500,75519.03
2023-01-30,1019519.03,1888.0,500,75519.03
2023-01-31,997199.29,1845.76,0,997199.29
2023-02-01,997199.29,1844.97,0,997199.29
2023-02-02,997199.29,1836.11,0,997199.29
2023-02-03,997199.29,1818.0,0,997199.29
2023-02-06,997199.29,1795.0,0,997199.29
2023-02-07,997199.29,1797.0,0,997199.29
2023-02-08,997199.29,1784.0,0,997199.29
2023-02-09,997199.29,1818.0,0,997199.29
2023-02-10,997199.29,1810.0,0,997199.29
2023-02-13,997199.29,1856.35,0,997199.29
2023-02-14,997199.29,1843.79,0,997199.29
2023-02-15,997199.29,1841.0,0,997199.29
2023-02-16,997199.29,1861.82,0,997199.29
2023-02-17,997199.29,1820.78,0,997199.29
2023-02-20,997199.29,1875.0,0,997199.29
2023-02-21,997199.29,1867.0,0,997199.29
2023-02-22,997199.29,1836.0,0,997199.29
2023-02-23,997199.29,1818.0,0,997199.29
2023-02-24,997199.29,1788.0,0,997199.29
2023-02-27,997199.29,1810.41,0,997199.29
2023-02-28,997199.29,1813.74,0,997199.29
2023-03-01,997199.29,1838.53,0,997199.29
2023-03-02,997199.29,1828.0,0,997199.29
2023-03-03,997199.29,1818.04,0,997199.29
2023-03-06,997199.29,1807.14,0,997199.29
2023-03-07,997199.29,1788.3,0,997199.29
2023-03-08,997199.29,1770.42,0,997199.29
2023-03-09,997199.29,1770.02,0,997199.29
2023-03-10,997199.29,1750.0,0,997199.29
2023-03-13,997199.29,1762.0,0,997199.29
2023-03-14,997199.29,1766.0,0,997199.29
2023-03-15,997199.29,1750.92,0,997199.29
2023-03-16,997199.29,1751.99,0,997199.29
2023-03-17,997199.29,1742.0,0,997199.29
2023-03-20,997199.29,1729.6,0,997199.29
2023-03-21,997199.29,1775.0,0,997199.29
2023-03-22,997199.29,1773.35,0,997199.29
2023-03-23,996933.06,1774.86,500,109503.06
2023-03-24,998813.06,1778.62,500,109503.06
2023-03-27,993398.06,1767.79,500,109503.06
2023-03-28,1000403.06,1781.8,500,109503.06
2023-03-29,1004503.06,1790.0,500,109503.06
2023-03-30,1009503.06,1800.0,500,109503.06
2023-03-31,1019503.06,1820.0,500,109503.06
2023-04-03,1010538.06,1802.07,500,109503.06
2023-04-04,1016798.06,1814.59,500,109503.06
2023-04-06,1007983.06,1796.96,500,109503.06
2023-04-07,1004998.06,1790.99,500,109503.06
2023-04-10,995353.06,1771.7,500,109503.06
2023-04-11,981118.49,1745.5,0,981118.49
2023-04-12,981118.49,1694.1,0,981118.49
2023-04-13,981118.49,1723.0,0,981118.49
2023-04-14,981118.49,1713.42,0,981118.49
2023-04-17,981118.49,1753.0,0,981118.49
2023-04-18,981118.49,1758.0,0,981118.49
2023-04-19,981118.49,1759.0,0,981118.49
2023-04-20,981118.49,1741.88,0,981118.49
2023-04-21,981118.49,1725.47,0,981118.49
2023-04-24,981118.49,1705.0,0,981118.49
2023-04-25,981118.49,1730.38,0,981118.49
2023-04-26,981118.49,1743.91,0,981118.49
2023-04-27,980854.8,1757.92,500,101894.8
2023-04-28,982154.8,1760.52,500,101894.8
2023-05-04,976844.8,1749.9,500,101894.8
2023-05-05,976894.8,1750.0,500,101894.8
2023-05-08,962154.8,1720.52,500,101894.8
2023-05-09,962894.8,1722.0,500,101894.8
2023-05-10,963273.55,1725.0,0,963273.55
2023-05-11,963273.55,1717.07,0,963273.55
2023-05-12,963273.55,1706.4,0,963273.55
2023-05-15,963273.55,1716.3,0,963273.55
2023-05-16,963273.55,1703.29,0,963273.55
2023-05-17,963273.55,1701.0,0,963273.55
2023-05-18,963273.55,1691.0,0,963273.55
2023-05-19,963273.55,1699.5,0,963273.55
2023-05-22,963011.65,1746.0,500,90011.65
2023-05-23,952286.65,1724.55,500,90011.65
2023-05-24,945461.65,1710.9,500,90011.65
2023-05-25,940511.65,1701.0,500,90011.65
2023-05-26,934192.78,1690.56,0,934192.78
2023-05-29,934192.78,1689.0,0,934192.78
2023-05-30,934192.78,1668.29,0,934192.78
2023-05-31,934192.78,1628.9,0,934192.78
2023-06-01,934192.78,1635.92,0,934192.78
2023-06-02,934192.78,1670.6,0,934192.78
2023-06-05,934192.78,1665.0,0,934192.78
2023-06-06,934192.78,1666.99,0,934192.78
2023-06-07,934192.78,1650.9,0,934192.78
2023-06-08,934192.78,1668.0,0,934192.78
2023-06-09,933942.88,1666.0,500,100942.88
2023-06-12,948942.88,1696.0,500,100942.88
2023-06-13,950442.88,1699.0,500,100942.88
2023-06-14,964382.88,1726.88,500,100942.88
2023-06-15,978442.88,1755.0,500,100942.88
2023-06-16,999787.88,1797.69,500,100942.88
2023-06-19,972942.88,1744.0,500,100942.88
2023-06-20,972672.88,1743.46,500,100942.88
2023-06-21,968857.88,1735.83,500,100942.88
2023-06-26,955442.88,1709.0,500,100942.88
2023-06-27,956467.88,1711.05,500,100942.88
2023-06-28,965132.88,1728.38,500,100942.88
2023-06-29,957797.88,1713.71,500,100942.88
2023-06-30,945343.73,1691.0,0,945343.73
2023-07-03,945343.73,1724.1,0,945343.73
2023-07-04,945084.14,1730.6,500,79784.14
2023-07-05,937474.14,1715.38,500,79784.14
2023-07-06,931274.14,1702.98,500,79784.14
2023-07-07,924799.14,1690.03,500,79784.14
2023-07-10,930234.14,1700.9,500,79784.14
2023-07-11,934784.14,1710.0,500,79784.14
2023-07-12,936684.14,1713.8,500,79784.14
2023-07-13,948984.14,1738.4,500,79784.14
2023-07-14,956284.14,1753.0,500,79784.14
2023-07-17,944769.14,1729.97,500,79784.14
2023-07-18,941184.14,1722.8,500,79784.14
2023-07-19,941284.14,1723.0,500,79784.14
2023-07-20,941784.14,1724.0,500,79784.14
2023-07-21,965434.14,1771.3,500,79784.14
2023-07-24,965359.14,1771.15,500,79784.14
2023-07-25,994059.14,1828.55,500,79784.14
2023-07-26,994059.14,1828.55,500,79784.14
2023-07-27,998799.14,1838.03,500,79784.14
2023-07-28,1028284.14,1897.0,500,79784.14
2023-07-31,1020074.14,1880.58,500,79784.14
2023-08-01,1024284.14,1889.0,500,79784.14
2023-08-02,1019784.14,1880.0,500,79784.14
2023-08-03,1019019.14,1878.47,500,79784.14
2023-08-04,1026519.14,1893.47,500,79784.14
2023-08-07,1023749.14,1887.93,500,79784.14
2023-08-08,1024784.14,1890.0,500,79784.14
2023-08-09,1024924.14,1890.28,500,79784.14
2023-08-10,1017284.14,1875.0,500,79784.14
2023-08-11,995592.04,1834.0,0,995592.04
2023-08-14,995592.04,1803.0,0,995592.04
2023-08-15,995592.04,1812.98,0,995592.04
2023-08-16,995592.04,1820.0,0,995592.04
2023-08-17,995592.04,1828.05,0,995592.04
2023-08-18,995592.04,1802.59,0,995592.04
2023-08-21,995592.04,1791.0,0,995592.04
2023-08-22,995592.04,1788.0,0,995592.04
2023-08-23,995592.04,1774.0,0,995592.04
2023-08-24,995592.04,1816.3,0,995592.04
2023-08-25,995592.04,1824.98,0,995592.04
2023-08-28,995592.04,1834.97,0,995592.04
2023-08-29,995592.04,1851.33,0,995592.04
2023-08-30,995592.04,1856.0,0,995592.04
2023-08-31,995314.99,1847.0,500,71814.99
2023-09-01,997339.99,1851.05,500,71814.99
2023-09-04,1004814.99,1866.0,500,71814.99
2023-09-05,1001164.99,1858.7,500,71814.99
2023-09-06,1002314.99,1861.0,500,71814.99
2023-09-07,990814.99,1838.0,500,71814.99
2023-09-08,979882.97,1818.5,0,979882.97
2023-09-11,979882.97,1822.17,0,979882.97
2023-09-12,979882.97,1819.96,0,979882.97
2023-09-13,979882.97,1819.91,0,979882.97
2023-09-14,979882.97,1818.69,0,979882.97
2023-09-15,979882.97,1781.99,0,979882.97
2023-09-18,979882.97,1829.2,0,979882.97
2023-09-19,979882.97,1826.94,0,979882.97
2023-09-20,979882.97,1824.0,0,979882.97
2023-09-21,979882.97,1798.39,0,979882.97
2023-09-22,979882.97,1849.0,0,979882.97
2023-09-25,979882.97,1832.38,0,979882.97
2023-09-26,979882.97,1816.0,0,979882.97
2023-09-27,979882.97,1814.0,0,979882.97
2023-09-28,979882.97,1798.55,0,979882.97
2023-10-09,979882.97,1777.0,0,979882.97
2023-10-10,979882.97,1770.0,0,979882.97
2023-10-11,979882.97,1778.5,0,979882.97
2023-10-12,979882.97,1786.0,0,979882.97
2023-10-13,979882.97,1751.0,0,979882.97
2023-10-16,979882.97,1729.9,0,979882.97
2023-10-17,979882.97,1726.0,0,979882.97
2023-10-18,979882.97,1728.0,0,979882.97
2023-10-19,979882.97,1630.0,0,979882.97
2023-10-20,979882.97,1645.0,0,979882.97
2023-10-23,979882.97,1643.98,0,979882.97
