date,equity,close,shares,cash
2022-06-17,1000000.0,1951.0,0,1000000.0
2022-06-20,1000000.0,1942.02,0,1000000.0
2022-06-21,1000000.0,1945.74,0,1000000.0
2022-06-22,1000000.0,1936.0,0,1000000.0
2022-06-23,1000000.0,1957.1,0,1000000.0
2022-06-24,1000000.0,2009.01,0,1000000.0
2022-06-27,1000000.0,2010.55,0,1000000.0
2022-06-28,1000000.0,2036.0,0,1000000.0
2022-06-29,1000000.0,2030.0,0,1000000.0
2022-06-30,1000000.0,2045.0,0,1000000.0
2022-07-01,1000000.0,2029.05,0,1000000.0
2022-07-04,1000000.0,2018.0,0,1000000.0
2022-07-05,1000000.0,2033.01,0,1000000.0
2022-07-06,1000000.0,2002.0,0,1000000.0
2022-07-07,1000000.0,1990.0,0,1000000.0
2022-07-08,1000000.0,1999.0,0,1000000.0
2022-07-11,1000000.0,1963.6,0,1000000.0
2022-07-12,1000000.0,1948.41,0,1000000.0
2022-07-13,1000000.0,1958.89,0,1000000.0
2022-07-14,1000000.0,1953.0,0,1000000.0
2022-07-15,1000000.0,1949.5,0,1000000.0
2022-07-18,1000000.0,1951.66,0,1000000.0
2022-07-19,1000000.0,1943.1,0,1000000.0
2022-07-20,1000000.0,1950.1,0,1000000.0
2022-07-21,1000000.0,1939.0,0,1000000.0
2022-07-22,1000000.0,1947.0,0,1000000.0
2022-07-25,1000000.0,1944.65,0,1000000.0
2022-07-26,1000000.0,1950.21,0,1000000.0
2022-07-27,1000000.0,1919.6,0,1000000.0
2022-07-28,1000000.0,1898.0,0,1000000.0
2022-07-29,1000000.0,1898.44,0,1000000.0
2022-08-01,1000000.0,1890.3,0,1000000.0
2022-08-02,1000000.0,1879.98,0,1000000.0
2022-08-03,1000000.0,1885.0,0,1000000.0
2022-08-04,1000000.0,1916.01,0,1000000.0
2022-08-05,1000000.0,1923.96,0,1000000.0
2022-08-08,1000000.0,1911.53,0,1000000.0
2022-08-09,1000000.0,1910.0,0,1000000.0
2022-08-10,1000000.0,1876.0,0,1000000.0
2022-08-11,1000000.0,1906.9,0,1000000.0
2022-08-12,1000000.0,1928.0,0,1000000.0
2022-08-15,1000000.0,1919.89,0,1000000.0
2022-08-16,1000000.0,1917.84,0,1000000.0
2022-08-17,1000000.0,1918.0,0,1000000.0
2022-08-18,1000000.0,1895.5,0,1000000.0
2022-08-19,1000000.0,1895.01,0,1000000.0
2022-08-22,1000000.0,1893.98,0,1000000.0
2022-08-23,1000000.0,1870.01,0,1000000.0
2022-08-24,999721.87,1854.2,500,72621.87
2022-08-25,1015121.87,1885.0,500,72621.87
2022-08-26,1021621.87,1898.0,500,72621.87
2022-08-29,1012031.87,1878.82,500,72621.87
2022-08-30,1007621.87,1870.0,500,72621.87
2022-08-31,1034621.87,1924.0,500,72621.87
2022-09-01,1013066.87,1880.89,500,72621.87
2022-09-02,1010121.87,1875.0,500,72621.87
2022-09-05,990121.87,1835.0,500,72621.87
2022-09-06,995121.87,1845.0,500,72621.87
2022-09-07,981626.87,1818.01,500,72621.87
2022-09-08,980121.87,1815.0,500,72621.87
2022-09-09,995016.87,1844.79,500,72621.87
2022-09-13,1012121.87,1879.0,500,72621.87
2022-09-14,1007121.87,1869.0,500,72621.87
2022-09-15,1012621.87,1880.0,500,72621.87
2022-09-16,1002121.87,1859.0,500,72621.87
2022-09-19,1008441.87,1871.64,500,72621.87
2022-09-20,1011621.87,1878.0,500,72621.87
2022-09-21,996621.87,1848.0,500,72621.87
2022-09-22,983026.87,1820.81,500,72621.87
2022-09-23,989836.87,1834.43,500,72621.87
2022-09-26,1004121.87,1863.0,500,72621.87
2022-09-27,1016621.87,1888.0,500,72621.87
2022-09-28,1014121.87,1883.0,500,72621.87
2022-09-29,1012796.87,1880.35,500,72621.87
2022-09-30,1008871.87,1872.5,500,72621.87
2022-10-10,965621.87,1786.0,500,72621.87
2022-10-11,962616.87,1779.99,500,72621.87
2022-10-12,952621.87,1760.0,500,72621.87
2022-10-13,922616.87,1699.99,500,72621.87
2022-10-14,941426.87,1737.61,500,72621.87
2022-10-17,931871.87,1718.5,500,72621.87
2022-10-18,925536.87,1705.83,500,72621.87
2022-10-19,896621.87,1648.0,500,72621.87
2022-10-20,894371.87,1643.5,500,72621.87
2022-10-21,884621.87,1624.0,500,72621.87
2022-10-24,823261.87,1501.28,500,72621.87
2022-10-25,812496.87,1479.75,500,72621.87
2022-10-26,804661.87,1464.08,500,72621.87
2022-10-27,773121.87,1401.0,500,72621.87
2022-10-28,752621.87,1360.0,500,72621.87
2022-10-31,747621.87,1350.0,500,72621.87
2022-11-01,803626.87,1462.01,500,72621.87
2022-11-02,808601.87,1471.96,500,72621.87
2022-11-03,792371.87,1439.5,500,72621.87
2022-11-04,830906.87,1516.57,500,72621.87
2022-11-07,826176.87,1507.11,500,72621.87
2022-11-08,815061.87,1484.88,500,72621.87
2022-11-09,802571.87,1459.9,500,72621.87
2022-11-10,810121.87,1475.0,500,72621.87
2022-11-11,836696.87,1528.15,500,72621.87
2022-11-14,839121.87,1533.0,500,72621.87
2022-11-15,866621.87,1588.0,500,72621.87
2022-11-16,865246.87,1585.25,500,72621.87
2022-11-17,856121.87,1567.0,500,72621.87
2022-11-18,856186.87,1567.13,500,72621.87
2022-11-21,832611.87,1519.98,500,72621.87
2022-11-22,842596.87,1539.95,500,72621.87
2022-11-23,847121.87,1549.0,500,72621.87
2022-11-24,832616.87,1519.99,500,72621.87
2022-11-25,833626.87,1522.01,500,72621.87
2022-11-28,827561.87,1509.88,500,72621.87
2022-11-29,872121.87,1599.0,500,72621.87
2022-11-30,872121.87,1599.0,500,72621.87
2022-12-01,886961.85,1630.8,0,886961.85
2022-12-02,886961.85,1633.88,0,886961.85
2022-12-05,886961.85,1664.9,0,886961.85
2022-12-06,886961.85,1688.0,0,886961.85
2022-12-07,886961.85,1684.0,0,886961.85
2022-12-08,886961.85,1687.02,0,886961.85
2022-12-09,886961.85,1730.0,0,886961.85
2022-12-12,886961.85,1739.02,0,886961.85
2022-12-13,886961.85,1750.0,0,886961.85
2022-12-14,886961.85,1770.87,0,886961.85
2022-12-15,886961.85,1786.99,0,886961.85
2022-12-16,886961.85,1786.87,0,886961.85
2022-12-19,886961.85,1773.0,0,886961.85
2022-12-20,886961.85,1715.0,0,886961.85
2022-12-21,886961.85,1739.0,0,886961.85
2022-12-22,886961.85,1768.0,0,886961.85
2022-12-23,886961.85,1771.0,0,886961.85
2022-12-26,886961.85,1742.06,0,886961.85
2022-12-27,886961.85,1733.0,0,886961.85
2022-12-28,886961.85,1733.0,0,886961.85
2022-12-29,886961.85,1719.0,0,886961.85
2022-12-30,886961.85,1727.0,0,886961.85
2023-01-03,886961.85,1730.01,0,886961.85
2023-01-04,886961.85,1725.01,0,886961.85
2023-01-05,886961.85,1801.0,0,886961.85
2023-01-06,886961.85,1803.77,0,886961.85
2023-01-09,886961.85,1841.2,0,886961.85
2023-01-10,886961.85,1854.45,0,886961.85
2023-01-11,886961.85,1844.95,0,886961.85
2023-01-12,886961.85,1834.0,0,886961.85
2023-01-13,886961.85,1887.0,0,886961.85
2023-01-16,886961.85,1912.9,0,886961.85
2023-01-17,886961.85,1908.0,0,886961.85
2023-01-18,886961.85,1893.0,0,886961.85
2023-01-19,886961.85,1880.21,0,886961.85
2023-01-20,886961.85,1860.01,0,886961.85
2023-01-30,886961.85,1888.0,0,886961.85
2023-01-31,886961.85,1845.76,0,886961.85
2023-02-01,886961.85,1844.97,0,886961.85
2023-02-02,886961.85,1836.11,0,886961.85
2023-02-03,886961.85,1818.0,0,886961.85
2023-02-06,886961.85,1795.0,0,886961.85
2023-02-07,886961.85,1797.0,0,886961.85
2023-02-08,886961.85,1784.0,0,886961.85
2023-02-09,886961.85,1818.0,0,886961.85
2023-02-10,886961.85,1810.0,0,886961.85
2023-02-13,886961.85,1856.35,0,886961.85
2023-02-14,886961.85,1843.79,0,886961.85
2023-02-15,886961.85,1841.0,0,886961.85
2023-02-16,886961.85,1861.82,0,886961.85
2023-02-17,886961.85,1820.78,0,886961.85
2023-02-20,886961.85,1875.0,0,886961.85
2023-02-21,886961.85,1867.0,0,886961.85
2023-02-22,886961.85,1836.0,0,886961.85
2023-02-23,886961.85,1818.0,0,886961.85
2023-02-24,886961.85,1788.0,0,886961.85
2023-02-27,886961.85,1810.41,0,886961.85
2023-02-28,886961.85,1813.74,0,886961.85
2023-03-01,886961.85,1838.53,0,886961.85
2023-03-02,886961.85,1828.0,0,886961.85
2023-03-03,886961.85,1818.04,0,886961.85
2023-03-06,886961.85,1807.14,0,886961.85
2023-03-07,886961.85,1788.3,0,886961.85
2023-03-08,886696.29,1770.42,500,1486.29
2023-03-09,886496.29,1770.02,500,1486.29
2023-03-10,876486.29,1750.0,500,1486.29
2023-03-13,882486.29,1762.0,500,1486.29
2023-03-14,884486.29,1766.0,500,1486.29
2023-03-15,876946.29,1750.92,500,1486.29
2023-03-16,877481.29,1751.99,500,1486.29
2023-03-17,872486.29,1742.0,500,1486.29
2023-03-20,866286.29,1729.6,500,1486.29
2023-03-21,888986.29,1775.0,500,1486.29
2023-03-22,888161.29,1773.35,500,1486.29
2023-03-23,888916.29,1774.86,500,1486.29
2023-03-24,890796.29,1778.62,500,1486.29
2023-03-27,885381.29,1767.79,500,1486.29
2023-03-28,892386.29,1781.8,500,1486.29
2023-03-29,896486.29,1790.0,500,1486.29
2023-03-30,901486.29,1800.0,500,1486.29
2023-03-31,910303.29,1820.0,0,910303.29
2023-04-03,910303.29,1802.07,0,910303.29
2023-04-04,910303.29,1814.59,0,910303.29
2023-04-06,910303.29,1796.96,0,910303.29
2023-04-07,910303.29,1790.99,0,910303.29
2023-04-10,910303.29,1771.7,0,910303.29
2023-04-11,910303.29,1745.5,0,910303.29
2023-04-12,910049.17,1694.1,500,62999.17
2023-04-13,924499.17,1723.0,500,62999.17
2023-04-14,919709.17,1713.42,500,62999.17
2023-04-17,939499.17,1753.0,500,62999.17
2023-04-18,941999.17,1758.0,500,62999.17
2023-04-19,942499.17,1759.0,500,62999.17
2023-04-20,933939.17,1741.88,500,62999.17
2023-04-21,925734.17,1725.47,500,62999.17
2023-04-24,915499.17,1705.0,500,62999.17
2023-04-25,928189.17,1730.38,500,62999.17
2023-04-26,934954.17,1743.91,500,62999.17
2023-04-27,941959.17,1757.92,500,62999.17
2023-04-28,943259.17,1760.52,500,62999.17
2023-05-04,937949.17,1749.9,500,62999.17
2023-05-05,937999.17,1750.0,500,62999.17
2023-05-08,923259.17,1720.52,500,62999.17
2023-05-09,923999.17,1722.0,500,62999.17
2023-05-10,925499.17,1725.0,500,62999.17
2023-05-11,921534.17,1717.07,500,62999.17
2023-05-12,916199.17,1706.4,500,62999.17
2023-05-15,921149.17,1716.3,500,62999.17
2023-05-16,914644.17,1703.29,500,62999.17
2023-05-17,913499.17,1701.0,500,62999.17
2023-05-18,908499.17,1691.0,500,62999.17
2023-05-19,912749.17,1699.5,500,62999.17
2023-05-22,935999.17,1746.0,500,62999.17
2023-05-23,925274.17,1724.55,500,62999.17
2023-05-24,918449.17,1710.9,500,62999.17
2023-05-25,913499.17,1701.0,500,62999.17
2023-05-26,908279.17,1690.56,500,62999.17
2023-05-29,907499.17,1689.0,500,62999.17
2023-05-30,897144.17,1668.29,500,62999.17
2023-05-31,877449.17,1628.9,500,62999.17
2023-06-01,880959.17,1635.92,500,62999.17
2023-06-02,898299.17,1670.6,500,62999.17
2023-06-05,895499.17,1665.0,500,62999.17
2023-06-06,896494.17,1666.99,500,62999.17
2023-06-07,888449.17,1650.9,500,62999.17
2023-06-08,896999.17,1668.0,500,62999.17
2023-06-09,895999.17,1666.0,500,62999.17
2023-06-12,910999.17,1696.0,500,62999.17
2023-06-13,912499.17,1699.0,500,62999.17
2023-06-14,926439.17,1726.88,500,62999.17
2023-06-15,940499.17,1755.0,500,62999.17
2023-06-16,960675.67,1797.69,0,960675.67
2023-06-19,960675.67,1744.0,0,960675.67
2023-06-20,960675.67,1743.46,0,960675.67
2023-06-21,960675.67,1735.83,0,960675.67
2023-06-26,960675.67,1709.0,0,960675.67
2023-06-27,960675.67,1711.05,0,960675.67
2023-06-28,960675.67,1728.38,0,960675.67
2023-06-29,960675.67,1713.71,0,960675.67
2023-06-30,960675.67,1691.0,0,960675.67
2023-07-03,960675.67,1724.1,0,960675.67
2023-07-04,960675.67,1730.6,0,960675.67
2023-07-05,960675.67,1715.38,0,960675.67
2023-07-06,960675.67,1702.98,0,960675.67
2023-07-07,960675.67,1690.03,0,960675.67
2023-07-10,960675.67,1700.9,0,960675.67
2023-07-11,960675.67,1710.0,0,960675.67
2023-07-12,960675.67,1713.8,0,960675.67
2023-07-13,960675.67,1738.4,0,960675.67
2023-07-14,960675.67,1753.0,0,960675.67
2023-07-17,960675.67,1729.97,0,960675.67
2023-07-18,960675.67,1722.8,0,960675.67
2023-07-19,960675.67,1723.0,0,960675.67
2023-07-20,960675.67,1724.0,0,960675.67
2023-07-21,960675.67,1771.3,0,960675.67
2023-07-24,960675.67,1771.15,0,960675.67
2023-07-25,960675.67,1828.55,0,960675.67
2023-07-26,960675.67,1828.55,0,960675.67
2023-07-27,960675.67,1838.03,0,960675.67
2023-07-28,960675.67,1897.0,0,960675.67
2023-07-31,960675.67,1880.58,0,960675.67
2023-08-01,960675.67,1889.0,0,960675.67
2023-08-02,960675.67,1880.0,0,960675.67
2023-08-03,960675.67,1878.47,0,960675.67
2023-08-04,960675.67,1893.47,0,960675.67
2023-08-07,960675.67,1887.93,0,960675.67
2023-08-08,960675.67,1890.0,0,960675.67
2023-08-09,960675.67,1890.28,0,960675.67
2023-08-10,960675.67,1875.0,0,960675.67
2023-08-11,960675.67,1834.0,0,960675.67
2023-08-14,960675.67,1803.0,0,960675.67
2023-08-15,960675.67,1812.98,0,960675.67
2023-08-16,960675.67,1820.0,0,960675.67
2023-08-17,960675.67,1828.05,0,960675.67
2023-08-18,960675.67,1802.59,0,960675.67
2023-08-21,960675.67,1791.0,0,960675.67
2023-08-22,960675.67,1788.0,0,960675.67
2023-08-23,960675.67,1774.0,0,960675.67
2023-08-24,960675.67,1816.3,0,960675.67
2023-08-25,960675.67,1824.98,0,960675.67
2023-08-28,960675.67,1834.97,0,960675.67
2023-08-29,960675.67,1851.33,0,960675.67
2023-08-30,960675.67,1856.0,0,960675.67
2023-08-31,960675.67,1847.0,0,960675.67
2023-09-01,960675.67,1851.05,0,960675.67
2023-09-04,960675.67,1866.0,0,960675.67
2023-09-05,960675.67,1858.7,0,960675.67
2023-09-06,960675.67,1861.0,0,960675.67
2023-09-07,960675.67,1838.0,0,960675.67
2023-09-08,960675.67,1818.5,0,960675.67
2023-09-11,960675.67,1822.17,0,960675.67
2023-09-12,960675.67,1819.96,0,960675.67
2023-09-13,960675.67,1819.91,0,960675.67
2023-09-14,960675.67,1818.69,0,960675.67
2023-09-15,960675.67,1781.99,0,960675.67
2023-09-18,960675.67,1829.2,0,960675.67
2023-09-19,960675.67,1826.94,0,960675.67
2023-09-20,960675.67,1824.0,0,960675.67
2023-09-21,960675.67,1798.39,0,960675.67
2023-09-22,960675.67,1849.0,0,960675.67
2023-09-25,960675.67,1832.38,0,960675.67
2023-09-26,960675.67,1816.0,0,960675.67
2023-09-27,960675.67,1814.0,0,960675.67
2023-09-28,960675.67,1798.55,0,960675.67
2023-10-09,960675.67,1777.0,0,960675.67
2023-10-10,960675.67,1770.0,0,960675.67
2023-10-11,960675.67,1778.5,0,960675.67
2023-10-12,960675.67,1786.0,0,960675.67
2023-10-13,960413.02,1751.0,500,84913.02
2023-10-16,949863.02,1729.9,500,84913.02
2023-10-17,947913.02,1726.0,500,84913.02
2023-10-18,948913.02,1728.0,500,84913.02
2023-10-19,899913.02,1630.0,500,84913.02
