date,equity,close,shares,cash
2022-06-17,100000.0,144.6,0,100000.0
2022-06-20,100000.0,145.73,0,100000.0
2022-06-21,100000.0,150.15,0,100000.0
2022-06-22,100000.0,145.8,0,100000.0
2022-06-23,100000.0,147.5,0,100000.0
2022-06-24,100000.0,149.88,0,100000.0
2022-06-27,100000.0,164.87,0,100000.0
2022-06-28,100000.0,160.11,0,100000.0
2022-06-29,100000.0,170.58,0,100000.0
2022-06-30,100000.0,170.86,0,100000.0
2022-07-01,100000.0,166.3,0,100000.0
2022-07-04,100000.0,165.99,0,100000.0
2022-07-05,100000.0,161.5,0,100000.0
2022-07-06,100000.0,163.95,0,100000.0
2022-07-07,100000.0,161.67,0,100000.0
2022-07-08,100000.0,166.5,0,100000.0
2022-07-11,100000.0,160.39,0,100000.0
2022-07-12,100000.0,156.55,0,100000.0
2022-07-13,100000.0,157.8,0,100000.0
2022-07-14,100000.0,159.34,0,100000.0
2022-07-15,100000.0,156.35,0,100000.0
2022-07-18,100000.0,157.51,0,100000.0
2022-07-19,100000.0,157.99,0,100000.0
2022-07-20,100000.0,163.05,0,100000.0
2022-07-21,100000.0,161.31,0,100000.0
2022-07-22,100000.0,162.02,0,100000.0
2022-07-25,100000.0,162.0,0,100000.0
2022-07-26,100000.0,160.56,0,100000.0
2022-07-27,100000.0,157.51,0,100000.0
2022-07-28,100000.0,157.86,0,100000.0
2022-07-29,100000.0,153.06,0,100000.0
2022-08-01,100000.0,159.8,0,100000.0
2022-08-02,100000.0,158.6,0,100000.0
2022-08-03,100000.0,160.55,0,100000.0
2022-08-04,100000.0,160.76,0,100000.0
2022-08-05,100000.0,159.5,0,100000.0
2022-08-08,100000.0,158.8,0,100000.0
2022-08-09,100000.0,156.91,0,100000.0
2022-08-10,100000.0,153.96,0,100000.0
2022-08-11,100000.0,156.6,0,100000.0
2022-08-12,100000.0,156.1,0,100000.0
2022-08-15,100000.0,154.73,0,100000.0
2022-08-16,100000.0,160.0,0,100000.0
2022-08-17,100000.0,155.01,0,100000.0
2022-08-18,100000.0,151.9,0,100000.0
2022-08-19,100000.0,150.39,0,100000.0
2022-08-22,100000.0,152.72,0,100000.0
2022-08-23,100000.0,150.5,0,100000.0
2022-08-24,100000.0,148.0,0,100000.0
2022-08-25,100000.0,149.35,0,100000.0
2022-08-26,100000.0,150.3,0,100000.0
