date,equity,close,shares,cash
2022-06-17,100000.0,181.18,0,100000.0
2022-06-20,100000.0,183.49,0,100000.0
2022-06-21,100000.0,181.66,0,100000.0
2022-06-22,100000.0,178.07,0,100000.0
2022-06-23,100000.0,180.4,0,100000.0
2022-06-24,100000.0,185.0,0,100000.0
2022-06-27,100000.0,193.0,0,100000.0
2022-06-28,100000.0,199.65,0,100000.0
2022-06-29,100000.0,192.0,0,100000.0
2022-06-30,100000.0,201.93,0,100000.0
2022-07-01,100000.0,203.0,0,100000.0
2022-07-04,100000.0,201.04,0,100000.0
2022-07-05,100000.0,198.61,0,100000.0
2022-07-06,100000.0,194.74,0,100000.0
2022-07-07,100000.0,191.59,0,100000.0
2022-07-08,100000.0,192.7,0,100000.0
2022-07-11,100000.0,189.38,0,100000.0
2022-07-12,100000.0,190.0,0,100000.0
2022-07-13,100000.0,193.1,0,100000.0
2022-07-14,99971.48,190.13,500,4906.48
2022-07-15,99856.48,189.9,500,4906.48
2022-07-18,98571.48,187.33,500,4906.48
2022-07-19,99356.48,188.9,500,4906.48
2022-07-20,99461.48,189.11,500,4906.48
2022-07-21,98256.48,186.7,500,4906.48
2022-07-22,97861.48,185.91,500,4906.48
2022-07-25,98946.48,188.08,500,4906.48
2022-07-26,100401.48,190.99,500,4906.48
2022-07-27,98956.48,188.1,500,4906.48
2022-07-28,98466.48,187.12,500,4906.48
2022-07-29,94106.48,178.4,500,4906.48
2022-08-01,94196.48,178.58,500,4906.48
2022-08-02,92736.48,175.66,500,4906.48
2022-08-03,92201.48,174.59,500,4906.48
2022-08-04,93296.48,176.78,500,4906.48
2022-08-05,94496.48,179.18,500,4906.48
2022-08-08,93861.48,177.91,500,4906.48
2022-08-09,93396.48,176.98,500,4906.48
2022-08-10,91906.48,174.0,500,4906.48
2022-08-11,93861.48,177.91,500,4906.48
2022-08-12,94256.48,178.7,500,4906.48
2022-08-15,92906.48,176.0,500,4906.48
2022-08-16,92521.48,175.23,500,4906.48
2022-08-17,93006.48,176.2,500,4906.48
2022-08-18,91621.48,173.43,500,4906.48
2022-08-19,91736.48,173.66,500,4906.48
2022-08-22,90656.48,171.5,500,4906.48
2022-08-23,88906.48,168.0,500,4906.48
2022-08-24,88526.48,167.24,500,4906.48
2022-08-25,89611.48,169.41,500,4906.48
2022-08-26,89956.48,170.1,500,4906.48
2022-08-29,87581.48,165.35,500,4906.48
2022-08-30,86921.48,164.03,500,4906.48
2022-08-31,88501.48,167.19,500,4906.48
2022-09-01,86686.48,163.56,500,4906.48
2022-09-02,85826.48,161.84,500,4906.48
2022-09-05,84416.48,159.02,500,4906.48
2022-09-06,85171.48,160.53,500,4906.48
2022-09-07,84376.48,158.94,500,4906.48
2022-09-08,84441.48,159.07,500,4906.48
2022-09-09,85636.48,161.46,500,4906.48
2022-09-13,86721.48,163.63,500,4906.48
2022-09-14,86106.48,162.4,500,4906.48
2022-09-15,87106.48,164.4,500,4906.48
2022-09-16,85446.48,161.08,500,4906.48
2022-09-19,86416.48,163.02,500,4906.48
2022-09-20,87801.48,165.79,500,4906.48
2022-09-21,86631.48,163.45,500,4906.48
2022-09-22,84356.48,158.9,500,4906.48
2022-09-23,84471.48,159.13,500,4906.48
2022-09-26,85961.48,162.11,500,4906.48
2022-09-27,90321.48,170.83,500,4906.48
2022-09-28,89706.48,169.6,500,4906.48
2022-09-29,89161.48,168.51,500,4906.48
2022-09-30,89521.48,169.23,500,4906.48
2022-10-10,84356.48,158.9,500,4906.48
2022-10-11,84201.48,158.59,500,4906.48
2022-10-12,83104.69,156.6,0,83104.69
2022-10-13,83104.69,153.57,0,83104.69
2022-10-14,83104.69,159.12,0,83104.69
2022-10-17,83104.69,157.65,0,83104.69
2022-10-18,83104.69,158.7,0,83104.69
2022-10-19,83104.69,154.5,0,83104.69
2022-10-20,83104.69,154.15,0,83104.69
2022-10-21,83104.69,152.15,0,83104.69
2022-10-24,83104.69,143.23,0,83104.69
2022-10-25,83104.69,142.12,0,83104.69
2022-10-26,83104.69,143.4,0,83104.69
2022-10-27,83104.69,137.1,0,83104.69
2022-10-28,83104.69,137.5,0,83104.69
2022-10-31,83104.69,133.5,0,83104.69
2022-11-01,83104.69,142.58,0,83104.69
2022-11-02,83104.69,143.62,0,83104.69
2022-11-03,83104.69,140.92,0,83104.69
2022-11-04,83104.69,150.0,0,83104.69
2022-11-07,83104.69,151.14,0,83104.69
2022-11-08,83104.69,147.49,0,83104.69
2022-11-09,83104.69,145.4,0,83104.69
2022-11-10,83082.83,145.76,500,10202.83
2022-11-11,85212.83,150.02,500,10202.83
2022-11-14,85352.83,150.3,500,10202.83
2022-11-15,87277.83,154.15,500,10202.83
2022-11-16,87307.83,154.21,500,10202.83
2022-11-17,86502.83,152.6,500,10202.83
2022-11-18,87007.83,153.61,500,10202.83
2022-11-21,84667.83,148.93,500,10202.83
2022-11-22,85317.83,150.23,500,10202.83
2022-11-23,85087.83,149.77,500,10202.83
2022-11-24,84107.83,147.81,500,10202.83
2022-11-25,83892.83,147.38,500,10202.83
2022-11-28,83931.85,147.65,0,83931.85
2022-11-29,83908.6,155.05,500,6383.6
2022-11-30,84813.6,156.86,500,6383.6
2022-12-01,88678.6,164.59,500,6383.6
2022-12-02,87913.6,163.06,500,6383.6
2022-12-05,90638.6,168.51,500,6383.6
2022-12-06,94083.6,175.4,500,6383.6
2022-12-07,93223.6,173.68,500,6383.6
2022-12-08,93763.6,174.76,500,6383.6
2022-12-09,98018.6,183.27,500,6383.6
2022-12-12,95558.6,178.35,500,6383.6
2022-12-13,96118.6,179.47,500,6383.6
2022-12-14,98423.6,184.08,500,6383.6
2022-12-15,97363.6,181.96,500,6383.6
2022-12-16,97643.6,182.52,500,6383.6
2022-12-19,96358.6,179.95,500,6383.6
2022-12-20,92638.6,172.51,500,6383.6
2022-12-21,93628.6,174.49,500,6383.6
2022-12-22,96133.6,179.5,500,6383.6
2022-12-23,96528.6,180.29,500,6383.6
2022-12-26,95683.6,178.6,500,6383.6
2022-12-27,96908.6,181.05,500,6383.6
2022-12-28,96473.6,180.18,500,6383.6
2022-12-29,95758.6,178.75,500,6383.6
2022-12-30,96728.6,180.69,500,6383.6
2023-01-03,95483.6,178.2,500,6383.6
2023-01-04,95693.6,178.62,500,6383.6
2023-01-05,100883.6,189.0,500,6383.6
2023-01-06,101613.6,190.46,500,6383.6
2023-01-09,104323.6,195.88,500,6383.6
2023-01-10,104003.6,195.24,500,6383.6
2023-01-11,103433.6,194.1,500,6383.6
2023-01-12,103078.6,193.39,500,6383.6
2023-01-13,105673.6,198.58,500,6383.6
2023-01-16,109643.6,206.52,500,6383.6
2023-01-17,107813.6,202.86,500,6383.6
2023-01-18,109283.6,205.8,500,6383.6
2023-01-19,109033.6,205.3,500,6383.6
2023-01-20,110743.6,208.72,500,6383.6
2023-01-30,115183.6,217.6,500,6383.6
2023-01-31,110883.6,209.0,500,6383.6
2023-02-01,111413.6,210.06,500,6383.6
2023-02-02,112638.6,212.51,500,6383.6
2023-02-03,111383.6,210.0,500,6383.6
2023-02-06,107233.6,201.7,500,6383.6
2023-02-07,107968.6,203.17,500,6383.6
2023-02-08,106158.6,199.55,500,6383.6
2023-02-09,110078.6,207.39,500,6383.6
2023-02-10,108600.54,204.7,0,108600.54
2023-02-13,108568.68,212.4,500,2368.68
2023-02-14,106988.68,209.24,500,2368.68
2023-02-15,107868.68,211.0,500,2368.68
2023-02-16,107763.68,210.79,500,2368.68
2023-02-17,106443.68,208.15,500,2368.68
2023-02-20,108843.68,212.95,500,2368.68
2023-02-21,107408.68,210.08,500,2368.68
2023-02-22,106118.68,207.5,500,2368.68
2023-02-23,104918.68,205.1,500,2368.68
2023-02-24,102787.97,201.1,0,102787.97
2023-02-27,102787.97,204.81,0,102787.97
2023-02-28,102787.97,204.42,0,102787.97
2023-03-01,102787.97,207.38,0,102787.97
